"product_name","text","rating"
"Pink Fairy Princess Wand And Tiara Fits 15 Build A Bear","Fairy out fit for Mrs Bear. ",5
"TY Juggles the Clown Beanie Baby","Juggles ",4
"Pokemon Center Original Doll Pokemon Time Raichu","Five Stars ",5
"Webkinz Orange Soda Pup Plush Toy","Awesome ",5
"Latest pokemon soft toy TSUTARJA new in uk ready to send","Made a Pokemon fan happy ",4
"Wild Republic House Sparrow - Audubon Plush Bird (Authentic Bird Sound)","Tweet tweet ",5
"9 I Love You Heart Me to You Bear",":) ",5
"Ty Beanie Baby Peppa Pig - Pirate George Plush Toy","GEORGE BEANIE ",5
"Itty Bitty Boo #18 Vampire Plush","Five Stars ",5
"Steiff 28cm Ricky Teddy Bear (Light Brown)","A beautiful teddy ",5
"Star Wars 15 inch Talking Darth Vader Plush","great star wars toy ",5
"Mini Squishable Octopus","good material. ",5
"Ice Age Beanie Babies - Sid","Great for any Ice Age fans ",4
"Webkinz Delightz Chocolate Pup Plush Toy","Puppy ",5
"Plush Soft Toy Marble Lop Eared Rabbit. 30cm. (Assorted colours)","Lady for our Tramp ",5
"Bagpuss Beanie","Five Stars ",5
"Disney Phineas and Ferb 8 Ferb Plush soft cuddle doll toy","my grandson will love it ",5
"Ben & Holly 6 Soft Toy Holly","Looks weird but child is happy ",3
"Cute Paw Patrol Ryder Soft Toy New Paw Patrol Plush Toy Doll Xmas Gift","Five Stars ",5
"Teddy Hermann Plush Soft Toy Penguin. 26cm.","Christmas Present for 2 year old girl ",5
"Kung Zhu Special Forces Hamster - Rocko","Arrived not working so had to take packaging apart to ... ",3
"Me to You 5-inch Tatty Teddy Bear Holding a Congratulations Party Popper Plaque (Grey)","Five Stars ",5
"Webkinz Butterscotch Retreiver Soft Toy","Webkinz Butterscotch Retreiver Soft Toy ",5
"Claires Girls and Womens Small Beanie Flora The Skunk Soft Toy in Black/White","Five Stars ",5
"Me To You 4-inch Tatty Teddy and My Blue Nose Friends Leboo The Masai Lion Soft Toy","leboo the beanie bag lion ",5
"Webkinz Pug Plush Toy","Cute Pug toy didnt stay mine for very long! ",5
"Despicable Me Minions Biscuit Tin Barrell","Great novelty purchase ",5
"GIANTmicrobes Original White Lab Mouse Rat Educational Soft Toy Funny Science Gift","Five Stars ",5
"Me to You 7-inch Tall Tatty Teddy Limited Edition Teddy Bear Dressed as A Boxer (Grey)","Ecstatic with this beautiful and adorable gift and so is my boyfriend ",5
